algorithm,resolution,seed,time_s,peak_memory_mb,roughness_mean,roughness_std,height_mean,height_std,height_skew,height_kurtosis,local_minima_count
perlin,256,0,0.4184,0.5,0.0017428281050639182,0.0009346972773699921,0.011439150565232654,0.07313332561569434,-0.506910966310865,-0.8238091798063332,58
perlin,256,1,0.4114,0.5,0.0028152389030212444,0.0012424809142628959,0.3518609743015162,0.10063484816056403,-0.5516636048781848,-0.7302834178616182,8
perlin,256,2,0.4089,0.5,0.0021541955126199623,0.001000166403043534,-0.19799056431090367,0.08131048679936968,0.2616519239435082,-1.0301907968741475,9
perlin,256,3,0.5316,0.5,0.0021990619705993717,0.0010717473681393335,-0.02789655576416749,0.1032120696923499,-0.0022272595786118473,-1.4616760492858183,8
perlin,256,4,0.4805,0.5,0.0016853219857744348,0.000791207056779974,-0.09901641382042561,0.09368509636057086,0.2511426192662795,-0.9001430255079628,13
perlin,512,0,1.7724,2.0,0.001853921152968932,0.0009598172605887217,-0.008498367417226605,0.08338014229135324,-0.44536684764233764,0.03165883327992525,78
perlin,512,1,1.7416,2.0,0.0024113396782109425,0.0011953732086562344,0.20093654558161228,0.1529693413606838,-0.4929837733376542,0.18069448091017692,23
perlin,512,2,1.7261,2.0,0.002071541902519624,0.0009714821640622872,-0.031025044517257037,0.14563949472145005,0.21288875598649543,-0.1717339027539735,26
perlin,512,3,2.0243,2.0,0.002321933422017976,0.0010895349259895056,-0.012687760276957227,0.13669639492722416,0.042061821490741655,-0.7810753992245876,25
perlin,512,4,1.901,2.0,0.0018577235217317229,0.0009452150640102507,-0.06382146091678759,0.09050689000012918,0.007675049192588441,-0.6317750541114067,29
perlin,1024,0,8.0045,8.0,0.0022543005558429115,0.0011435063981041496,0.0047708649939573015,0.18400309508080565,-0.031810820799179504,-0.41671538110849626,119
perlin,1024,1,6.9959,8.0,0.002157798035203725,0.0011278456011014244,0.03963057932643128,0.16315389314284406,0.3059877929255652,-0.20422167090829957,101
perlin,1024,2,6.8799,8.0,0.0020899712977713054,0.0010637821283086331,-0.012458702444986234,0.14049622152554528,0.250997443216835,-0.2883729195742708,91
perlin,1024,3,7.2674,8.0,0.0023355097800940696,0.001109914063857675,-0.010403605022490735,0.15423953176821384,-0.27607135543358563,-0.11610553007443691,67
perlin,1024,4,6.8761,8.0,0.002079026888898866,0.0010973493084325597,0.009796078102488417,0.14704470145607912,-0.24931128213024684,0.1960805702569579,89
perlin,2048,0,27.8315,32.0,0.0022013010305212207,0.0011120538395619085,-0.015612598927499,0.1563222661792516,0.12115739267931747,-0.2019347716777644,314
perlin,2048,1,29.7966,32.0,0.002143668232999515,0.0010996203182035012,0.019553867509742952,0.14549821888190834,0.04279271668525943,-0.051387524183906574,313
perlin,2048,2,27.9953,32.0,0.0021604397426896013,0.0011012900864404483,-0.012786342097106499,0.15259000864395375,0.07656069256811901,-0.2054928262362865,281
perlin,2048,3,27.4459,32.0,0.002270631228033302,0.0011326925476648523,0.010968139872016466,0.1565584555976136,-0.27256349008575914,0.13773374374645675,251
perlin,2048,4,27.503,32.0,0.0022650441647703544,0.0011622084319872137,0.011948045961386003,0.16092408025490001,-0.10449616156336532,-0.30452460593191155,263
