algorithm,resolution,seed,n_droplets,time_s,peak_memory_mb,roughness_mean,roughness_std,height_mean,height_std,height_skew,height_kurtosis,local_minima_count
erosion,256,0,3125,14.3832,1.0,0.010273032589459606,0.005340033194710826,0.0033653068782823134,0.1661088827201299,-0.038798312429239555,-0.41649525270041776,1022
erosion,256,1,3125,12.9639,1.0,0.009959644673519966,0.005253110961922885,0.035733184626739606,0.1472037764262973,0.3101112805277495,-0.15599427327920035,1088
erosion,256,2,3125,13.2618,1.0,0.00977584807960179,0.005113404303996698,-0.01216961137772422,0.12880252498801475,0.26502439863294225,-0.25864359274537874,1142
erosion,256,3,3125,12.9538,1.0,0.010610755160163014,0.005330850791462962,-0.00922402629278158,0.14136239407634787,-0.3050007495694245,-0.06524969598490671,958
erosion,256,4,3125,13.0099,1.0,0.00978589076485381,0.005187313803128415,0.00918132222218439,0.13210550517208236,-0.22170475089968097,0.22728003371811356,1170
erosion,512,0,12500,62.8358,4.0,0.010134049623893155,0.00525581682266864,-0.01439487340217884,0.14220438878361324,0.12739697091811195,-0.2054556379939183,4230
erosion,512,1,12500,61.5704,4.0,0.00994840977738447,0.005220502913803046,0.01702031369768263,0.1322336774815071,0.04344177729690905,-0.014696906767854845,4407
erosion,512,2,12500,62.6209,4.0,0.00999065845783149,0.0051931634252274025,-0.011707216083181829,0.13881958606497,0.09050007150894726,-0.20823845156897436,4397
erosion,512,3,12500,62.3546,4.0,0.01031725138305236,0.005333392216052913,0.009705006696687845,0.1423784544486447,-0.2615370460023595,0.1527436632840451,4159
erosion,512,4,12500,62.5285,4.0,0.010306972569761548,0.005378281073405794,0.01040405067767632,0.14588056001870855,-0.08610369489475184,-0.29370444974415566,4153
erosion,1024,0,50000,277.2119,16.0,0.010130917184362606,0.005258705029895624,-0.002478371571157452,0.13838540468105204,0.03466324356527575,-0.17701852240196425,17095
erosion,1024,1,50000,294.3923,16.0,0.010103863252714998,0.005267488565735723,0.002475616114989736,0.13731208122577082,-0.026731333791245863,-0.148573550083007,17298
erosion,1024,2,50000,280.9414,16.0,0.010048709895373637,0.0052086073114296794,0.0024091840350620153,0.13748717173341313,0.014716315642476049,-0.36467219198971845,17350
erosion,1024,3,50000,282.0469,16.0,0.01018278467687574,0.0053153512255769125,0.008571239604560263,0.14124408727227578,-0.09088221164700191,-0.1014895627891983,17300
erosion,1024,4,50000,288.2632,16.0,0.010176984975751448,0.005282728949883512,0.005487048084916838,0.14290110239003642,-0.05669380936001879,-0.35552020494005276,16928
erosion,2048,0,200000,1191.9026,64.0,0.010129599073306525,0.005258698427783133,-0.0005386133893022362,0.13993174984211332,0.015643647867238097,-0.24789178948576307,68643
erosion,2048,1,200000,1215.8452,64.0,0.010087212504141544,0.0052361043793470695,0.00035576833233676126,0.1391618344517826,-0.01898377838922706,-0.18605027948080277,68561
erosion,2048,2,200000,1216.249,64.0,0.010067643018824202,0.005220524184715737,-0.0001452824506740165,0.13936376318241198,-0.028820585715248804,-0.2520627149948984,69206
erosion,2048,3,200000,1302.101,64.0,0.010142936398636998,0.0052706232950338015,0.0002936061614304154,0.14116182613581024,-0.04704486946174654,-0.1180141976275273,68465
erosion,2048,4,200000,1410.1794,64.0,0.010093003059604264,0.005236378188291384,0.0014867974656931225,0.13896430791557718,-0.02454827559412834,-0.25688808728787205,69088
