algorithm,seed,resolution,gen_time_s,spec1_centre_value,spec1_pass,spec2_quadrant_mean,spec2_pass,height_mean,height_std,roughness,drainage_proxy
perlin,0,128,0.022,0.482277,0,0.573815,0,0.537631,0.157442,0.018947,170.0
perlin,1,128,0.0212,0.663532,0,0.805843,0,0.624346,0.179587,0.01425,154.0
perlin,2,128,0.0204,0.374193,0,0.212457,1,0.44144,0.204238,0.015152,182.0
perlin,3,128,0.0208,0.494802,0,0.492314,0,0.513709,0.208985,0.017909,153.0
perlin,4,128,0.0207,0.050823,0,0.416166,0,0.493164,0.193867,0.022303,196.0
perlin,5,128,0.0203,0.49136,0,0.740259,0,0.506759,0.175037,0.014347,170.0
perlin,6,128,0.0185,0.417945,0,0.216351,1,0.466881,0.205037,0.013736,131.0
perlin,7,128,0.0196,0.368811,0,0.723542,0,0.502372,0.198108,0.015947,139.0
perlin,8,128,0.0197,0.472489,0,0.519002,0,0.41143,0.204495,0.01712,167.0
perlin,9,128,0.0204,0.319933,0,0.345951,0,0.428182,0.180908,0.018636,144.0
perlin,10,128,0.0208,0.592406,0,0.538367,0,0.502646,0.166983,0.019546,202.0
perlin,11,128,0.0215,0.521958,0,0.322253,0,0.440327,0.203201,0.017265,147.0
perlin,12,128,0.0212,0.616772,0,0.718411,0,0.533146,0.211752,0.014025,126.0
perlin,13,128,0.0219,0.642192,0,0.486682,0,0.554755,0.203708,0.016056,148.0
perlin,14,128,0.0211,0.340602,0,0.371477,0,0.482366,0.202227,0.018598,154.0
perlin,15,128,0.02,0.426461,0,0.565807,0,0.450718,0.1969,0.020821,180.0
perlin,16,128,0.0199,0.30955,0,0.32408,0,0.421144,0.184777,0.014796,158.0
perlin,17,128,0.0202,0.469227,0,0.63455,0,0.469797,0.206088,0.01502,162.0
perlin,18,128,0.0186,0.388141,0,0.453336,0,0.458796,0.183855,0.017117,147.0
perlin,19,128,0.02,0.510424,0,0.619635,0,0.5121,0.208755,0.017839,138.0
perlin,20,128,0.0207,0.434377,0,0.209186,1,0.424166,0.204477,0.016736,142.0
perlin,21,128,0.0224,0.530212,0,0.290577,1,0.445153,0.196926,0.015775,159.0
perlin,22,128,0.0194,0.573502,0,0.392679,0,0.546085,0.199862,0.014115,144.0
perlin,23,128,0.019,0.476233,0,0.400452,0,0.418433,0.216409,0.016337,144.0
perlin,24,128,0.0187,0.531813,0,0.399814,0,0.512129,0.191549,0.016123,152.0
perlin,25,128,0.0195,0.597223,0,0.563446,0,0.462878,0.222539,0.01747,148.0
perlin,26,128,0.0208,0.6054,0,0.437468,0,0.462866,0.215826,0.016368,194.0
perlin,27,128,0.0216,0.863625,1,0.53532,0,0.554282,0.202032,0.0193,173.0
perlin,28,128,0.0199,0.584712,0,0.374182,0,0.498552,0.177216,0.020849,178.0
perlin,29,128,0.02,0.584018,0,0.742516,0,0.533613,0.210775,0.014756,168.0
erosion,0,128,1.0001,0.459566,0,0.576759,0,0.540865,0.151151,0.018106,504.0
erosion,1,128,0.7775,0.683613,0,0.801189,0,0.621415,0.178408,0.013885,361.0
erosion,2,128,0.9261,0.374825,0,0.219958,1,0.446101,0.199751,0.014922,486.0
erosion,3,128,0.8797,0.499331,0,0.503521,0,0.524779,0.200036,0.017361,411.0
erosion,4,128,0.9965,0.143796,0,0.396279,0,0.474132,0.195154,0.022641,517.0
erosion,5,128,0.9498,0.474519,0,0.737007,0,0.504959,0.172932,0.013776,433.0
erosion,6,128,1.111,0.413936,0,0.218743,1,0.466603,0.201704,0.013883,421.0
erosion,7,128,1.1716,0.389168,0,0.734247,0,0.523601,0.18649,0.014841,374.0
erosion,8,128,1.0852,0.452558,0,0.517959,0,0.410287,0.201202,0.016653,464.0
erosion,9,128,1.1488,0.293016,0,0.337558,0,0.420399,0.178423,0.018621,447.0
erosion,10,128,1.1308,0.583395,0,0.524494,0,0.489467,0.165741,0.019593,511.0
erosion,11,128,1.1924,0.512225,0,0.323211,0,0.43949,0.198862,0.01729,428.0
erosion,12,128,0.909,0.601389,0,0.71483,0,0.528865,0.21103,0.013991,310.0
erosion,13,128,0.9483,0.636949,0,0.48654,0,0.555108,0.20045,0.016012,363.0
erosion,14,128,1.0241,0.307823,0,0.344515,0,0.459729,0.206309,0.019395,441.0
erosion,15,128,0.9886,0.398019,0,0.562053,0,0.447923,0.191942,0.019889,487.0
erosion,16,128,1.1745,0.282815,0,0.302846,0,0.402607,0.186872,0.015376,469.0
erosion,17,128,0.9608,0.491536,0,0.633648,0,0.469493,0.20383,0.015073,362.0
erosion,18,128,0.9973,0.382511,0,0.45991,0,0.465558,0.177813,0.016672,437.0
erosion,19,128,0.9322,0.495257,0,0.618757,0,0.51199,0.205523,0.017745,369.0
erosion,20,128,0.994,0.423268,0,0.20749,1,0.423419,0.203443,0.017098,438.0
erosion,21,128,0.9108,0.524696,0,0.274948,1,0.431705,0.198516,0.016261,431.0
erosion,22,128,0.9282,0.564655,0,0.372933,0,0.514107,0.182781,0.013347,331.0
erosion,23,128,0.9425,0.477531,0,0.373333,0,0.392039,0.221656,0.016917,397.0
erosion,24,128,1.0394,0.516846,0,0.394702,0,0.506804,0.189031,0.016398,467.0
erosion,25,128,0.9805,0.594136,0,0.559493,0,0.458211,0.22023,0.017218,400.0
erosion,26,128,0.8527,0.60746,0,0.437117,0,0.462297,0.214082,0.016111,428.0
erosion,27,128,0.8538,0.857907,1,0.53355,0,0.553518,0.198857,0.018973,392.0
erosion,28,128,0.92,0.575853,0,0.374734,0,0.498056,0.173209,0.020635,455.0
erosion,29,128,0.8878,0.572942,0,0.740629,0,0.533253,0.208138,0.01408,351.0
wfc,0,128,364.3114,0.5,0,0.45874,0,0.493896,0.349551,0.230498,7011.0
wfc,1,128,340.9304,0.5,0,0.461182,0,0.497467,0.344959,0.232256,6891.0
wfc,2,128,439.2723,0.5,0,0.557251,0,0.511627,0.348733,0.233796,6899.0
wfc,3,128,422.0951,0.0,0,0.401733,0,0.511261,0.34721,0.23073,6857.0
wfc,4,128,434.9264,0.5,0,0.421265,0,0.501587,0.347982,0.233939,6773.0
wfc,5,128,446.6746,0.5,0,0.459595,0,0.498718,0.348377,0.232907,6970.0
wfc,6,128,317.1676,0.5,0,0.462646,0,0.490723,0.344556,0.233515,6835.0
wfc,7,128,316.0571,0.5,0,0.585449,0,0.544189,0.344017,0.233447,6737.0
wfc,8,128,322.7746,1.0,1,0.521729,0,0.546661,0.34513,0.231294,6882.0
wfc,9,128,396.1683,0.5,0,0.443604,0,0.517914,0.347853,0.232017,6983.0
